TIME,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
European Union - 27 countries (from 2020),14.4,14,13.8,13.2,12.6,11.8,11.1,11,10.6,10.5,10.5,10.2
Euro area – 20 countries (from 2023),16.1,15.6,15.2,14.5,13.6,12.7,11.7,11.5,11,10.8,10.9,10.5
Belgium,12,11.1,11.9,12.3,12,11,9.8,10.1,8.8,8.9,8.6,8.4
Bulgaria,14.8,14.7,12.6,11.8,12.5,12.5,12.9,13.4,13.8,12.7,12.7,13.9
Czechia,5.6,5.4,4.9,4.9,5.5,5.4,5.5,6.2,6.6,6.7,6.2,6.7
Denmark,12.7,11.5,11.5,10.3,9.6,8.2,8.1,8.1,7.5,8.8,10.4,9.9
Germany,11.8,11.1,11.8,11.6,10.5,9.8,9.5,10.1,10.3,10.1,10.3,10.3
Estonia,14,13.5,11,10.6,10.3,9.7,12,13.7,11.4,11.8,12,11.2
Ireland,11.7,11.8,11.9,11.1,9.9,8.7,6.7,6.8,6,5,5,5.1
Greece,14.4,14.2,13.5,12.9,11.3,10.1,9,7.9,6.2,6,4.7,4.1
Spain,31.7,30.9,28.2,26.3,24.7,23.6,21.9,20,19,18.3,17.9,17.3
France,11.8,12.4,12.7,12.3,11.8,9.7,8.8,9.2,8.8,8.8,8.7,8.2
Croatia,4.4,5.2,5.2,5,5.1,4.5,2.8,2.8,2.8,3.1,3.3,3
Italy,19.6,19.1,18.6,17.8,17.3,16.8,15,14.7,13.8,14,14.5,13.5
Cyprus,13.7,11.7,12.7,11.3,11.4,9.1,6.8,5.2,7.6,8.5,7.8,9.2
Latvia,15.5,14.3,12.9,11.6,10.6,9.8,8.5,9.9,10,8.6,8.3,8.7
Lithuania,7.5,8.7,7.9,7.4,6.5,6.3,5.9,5.5,4.8,5.4,4.6,4
Luxembourg,13.4,7.7,7.1,6.2,8.1,6.1,6.1,9.3,5.5,7.3,6.3,7.2
Hungary,11.7,11.5,10.8,11.4,11.8,11.9,11.4,11.6,12.4,12.5,12.5,11.8
Malta,27.2,25.7,21.4,18.8,18.1,17.1,17,16.3,15.6,14,14,13.9
Netherlands,11.4,11.3,10.1,9.2,8.9,9.3,8.7,8.2,8,7.1,7.3,7.5
Austria,10.2,8.8,8.3,8.5,7.8,7.5,7,7.3,6.9,7.4,7.3,7.8
Poland,5,5.3,5.4,5.6,5.7,5.6,5.4,5.3,5.2,5,4.8,5.2
Portugal,34.9,30.9,28.3,23,20.5,18.9,17.4,13.7,14,12.6,11.8,10.6
Romania,15.9,16.6,19.3,18.1,17.8,17.3,18.1,19.1,18.5,18.1,16.4,15.3
Slovenia,5.1,5.3,5,4.2,4.4,3.9,4.4,5,4.9,4.3,4.2,4.6
Slovakia,6,4.9,4.7,5.1,5.3,6.4,6.7,6.9,7.4,9.3,8.6,8.3
Finland,9.8,9.9,10.3,9.8,8.9,9.3,9.5,9.2,7.9,8.2,8.3,7.3
Sweden,7.9,7,6.5,6.6,7.5,7.1,6.7,7,7.4,7.7,7.5,6.5
Iceland,24.4,21.3,22.6,19.7,20.1,20.5,19.1,18.8,19.8,17.8,21.5,17.9
Norway,17,17.6,17.4,16.6,14.8,13.7,11.7,10.2,10.9,10.4,9.9,9.9
Switzerland,7.7,9.1,6.7,6.3,5.5,5.6,5.6,5.2,4.9,4.5,4.4,4.4
United Kingdom,16.9,15.7,14.8,14.9,13.4,12.4,11.8,10.8,11.2,10.6,10.7,10.9
Montenegro,:,:,:,7.2,6.7,5.6,5.1,5.7,5.5,5.4,4.6,5
North Macedonia,19.6,16.2,15.5,13.5,11.7,11.4,12.5,11.4,9.9,8.5,7.1,7.1
Serbia,:,:,8.3,8.5,8.1,8.9,8.4,7.5,7,6.2,6.8,6.6
Türkiye,45.5,44.3,43.1,41.9,39.6,37.5,38.3,36.4,34.3,32.5,31,28.7
