Drzava,Index
Slovak Republic,100.0
Slovenia,98.1
Belarus,97.2
Ukraine,94.5
Moldova,94.2
Belgium,92.2
Denmark,91.2
Finland,90.2
Norway,90.0
Netherlands,89.5
Armenia,89.2
Hungary,88.3
"Korea, Rep.",86.6
Sweden,86.4
Croatia,86.1
Iceland,85.0
Kyrgyzstan,85.0
Ireland,84.2
Austria,84.1
Estonia,82.6
Malta,81.5
Cyprus,81.0
Serbia,80.8
North Macedonia,80.3
Poland,80.1
France,79.9
Switzerland,79.9
Albania,79.4
Australia,78.3
United Kingdom,78.3
Greece,77.2
Singapore,75.8
Portugal,75.7
Taiwan,75.1
Luxembourg,74.9
Georgia,74.7
Bosnia and Herzegovina,74.6
New Zealand,73.8
Spain,73.6
Germany,73.3
Romania,73.2
Thailand,72.6
Italy,72.4
Latvia,72.4
Russia,71.6
Egypt,71.5
Lithuania,70.5
Vietnam,68.7
United Arab Emirates,68.5
Pakistan,67.8
Indonesia,66.2
Algeria,65.7
Azerbaijan,65.4
Dominican Republic,64.8
Gambia,64.1
El Salvador,63.6
Canada,62.0
Peru,60.9
Philippines,60.9
Mali,60.8
Malaysia,60.7
Bulgaria,60.2
Mauritania,60.2
United States,59.9
Uruguay,59.5
Bolivia,59.2
Afghanistan,59.0
Kazakhstan,58.6
Guinea,58.5
Tunisia,58.2
Nepal,57.9
Argentina,56.7
Bhutan,56.4
Tajikistan,56.2
Bangladesh,55.8
Nigeria,55.1
China,54.6
Mongolia,54.6
Myanmar,54.6
Paraguay,54.6
Liberia,53.9
Gabon,53.7
Laos,53.6
Libya,51.8
Japan,51.6
Oman,51.4
Türkiye,50.2
Chile,50.0
Sudan,49.7
Cambodia,48.9
Mexico,48.9
Ethiopia,48.7
Uzbekistan,48.6
Ecuador,48.0
Papua New Guinea,46.9
Guinea-Bissau,46.8
Chad,45.8
Benin,45.4
Sierra Leone,45.2
Mauritius,44.3
Israel,43.4
Senegal,43.4
Hong Kong,42.5
Jordan,42.1
Burundi,42.0
Malawi,42.0
Cote d'Ivoire,41.4
Costa Rica,41.3
Kenya,41.3
"Congo, Dem. Rep",41.0
Turkmenistan,40.9
Ghana,40.8
Sri Lanka,40.7
Niger,40.2
Morocco,39.6
Lesotho,39.4
Comoros,37.7
Madagascar,36.6
Panama,36.2
Honduras,35.2
Tanzania,35.2
Colombia,34.9
Cameroon,33.6
Togo,33.4
Brazil,31.6
Kuwait,31.6
"Bahamas, The",30.7
Guatemala,30.7
Guyana,30.7
Haiti,30.7
Jamaica,30.7
Nicaragua,30.7
Suriname,30.7
Qatar,29.6
Rwanda,29.2
Lebanon,28.7
Saudi Arabia,28.2
Zimbabwe,28.0
Uganda,27.9
Burkina Faso,27.2
Bahrain,25.1
"Congo, Rep.",24.7
India,21.9
"Yemen, Rep.",19.5
Botswana,17.0
Angola,12.8
Zambia,11.3
Namibia,5.6
Mozambique,4.6
Central African Republic,4.0
South Africa,2.9
Eswatini,0.0
