TIME,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
European Union - 27 countries (from 2020),2.6,1.3,0.4,0.1,0.2,1.6,1.8,1.4,0.7,2.9,9.2,6.4
Euro area – 20 countries (from 2023),2.5,1.4,0.4,0.2,0.2,1.5,1.8,1.2,0.3,2.6,8.4,5.4
Euro area - 19 countries  (2015-2022),2.5,1.3,0.4,0.2,0.2,1.5,1.8,1.2,0.3,2.6,8.4,5.4
Belgium,2.6,1.2,0.5,0.6,1.8,2.2,2.3,1.2,0.4,3.2,10.3,2.3
Bulgaria,2.4,0.4,-1.6,-1.1,-1.3,1.2,2.6,2.5,1.2,2.8,13,8.6
Czechia,3.5,1.4,0.4,0.3,0.6,2.4,2,2.6,3.3,3.3,14.8,12
Denmark,2.4,0.5,0.4,0.2,0,1.1,0.7,0.7,0.3,1.9,8.5,3.4
Germany,2.2,1.6,0.8,0.7,0.4,1.7,1.9,1.4,0.4,3.2,8.7,6
Estonia,4.2,3.2,0.5,0.1,0.8,3.7,3.4,2.3,-0.6,4.5,19.4,9.1
Ireland,1.9,0.5,0.3,0,-0.2,0.3,0.7,0.9,-0.5,2.4,8.1,5.2
Greece,1,-0.9,-1.4,-1.1,0,1.1,0.8,0.5,-1.3,0.6,9.3,4.2
Spain,2.4,1.5,-0.2,-0.6,-0.3,2,1.7,0.8,-0.3,3,8.3,3.4
France,2.2,1,0.6,0.1,0.3,1.2,2.1,1.3,0.5,2.1,5.9,5.7
Croatia,3.4,2.3,0.2,-0.3,-0.6,1.3,1.6,0.8,0,2.7,10.7,8.4
Italy,3.3,1.2,0.2,0.1,-0.1,1.3,1.2,0.6,-0.1,1.9,8.7,5.9
Cyprus,3.1,0.4,-0.3,-1.5,-1.2,0.7,0.8,0.5,-1.1,2.3,8.1,3.9
Latvia,2.3,0,0.7,0.2,0.1,2.9,2.6,2.7,0.1,3.2,17.2,9.1
Lithuania,3.2,1.2,0.2,-0.7,0.7,3.7,2.5,2.2,1.1,4.6,18.9,8.7
Luxembourg,2.9,1.7,0.7,0.1,0,2.1,2,1.6,0,3.5,8.2,2.9
Hungary,5.7,1.7,0,0.1,0.4,2.4,2.9,3.4,3.4,5.2,15.3,17
Malta,3.2,1,0.8,1.2,0.9,1.3,1.7,1.5,0.8,0.7,6.1,5.6
Netherlands,2.8,2.6,0.3,0.2,0.1,1.3,1.6,2.7,1.1,2.8,11.6,4.1
Austria,2.6,2.1,1.5,0.8,1,2.2,2.1,1.5,1.4,2.8,8.6,7.7
Poland,3.7,0.8,0.1,-0.7,-0.2,1.6,1.2,2.1,3.7,5.2,13.2,10.9
Portugal,2.8,0.4,-0.2,0.5,0.6,1.6,1.2,0.3,-0.1,0.9,8.1,5.3
Romania,3.4,3.2,1.4,-0.4,-1.1,1.1,4.1,3.9,2.3,4.1,12,9.7
Slovenia,2.8,1.9,0.4,-0.8,-0.2,1.6,1.9,1.7,-0.3,2,9.3,7.2
Slovakia,3.7,1.5,-0.1,-0.3,-0.5,1.4,2.5,2.8,2,2.8,12.1,11
Finland,3.2,2.2,1.2,-0.2,0.4,0.8,1.2,1.1,0.4,2.1,7.2,4.3
Sweden,0.9,0.4,0.2,0.7,1.1,1.9,2,1.7,0.7,2.7,8.1,5.9
Iceland,6,4.1,1,0.3,0.8,-1.7,0.7,2,1.2,3.7,5.7,8
Liechtenstein,:,:,:,:,:,:,:,:,:,:,:,:
Norway,0.4,2,1.9,2,3.9,1.9,3,2.3,1.2,3.9,6.2,5.8
Switzerland,-0.7,0.1,0,-0.8,-0.5,0.6,0.9,0.4,-0.8,0.5,2.7,2.3
United Kingdom,2.8,2.6,1.5,0,0.7,2.7,2.5,1.8,:,:,:,:
Montenegro,:,:,:,:,-0.1,2.7,2.6,0.5,-0.5,2.5,11.9,8.7
North Macedonia,1.8,2.7,0,0.1,0.2,2.1,2.3,0.7,1.2,3.4,14,9
Albania,:,:,:,:,:,3.2,1.8,1.7,2.2,2.3,6.6,5.3
Serbia,7.4,7.7,2.3,1.5,1.3,3.3,2,1.9,1.8,4,11.7,12.1
Türkiye,9,7.5,8.9,7.7,7.7,11.1,16.3,15.2,12.3,19.6,72.3,54
Kosovo,:,:,:,:,:,1.5,1.1,2.7,0.2,3.4,11.6,4.9
United States,2.1,1.2,1.3,-0.8,0.6,1.8,2.2,1.4,0.8,5.3,8.7,3
