country,2020,2021,2022
Belgium,40.9,40.5,40.4
Bulgaria,40.7,40.6,40.4
Czechia,41.3,40.7,40.9
Denmark,38.3,39.3,39.1
Germany,40.5,40.5,40.4
Estonia,40.4,40.2,40.1
Ireland,40.3,40.1,40.4
Greece,43.7,43.2,42.7
Spain,40.4,40.2,40.4
France,40.3,39.9,40.0
Croatia,40.7,40.6,40.4
Italy,40.3,40.6,40.5
Cyprus,41.2,41.3,41.5
Latvia,40.3,40.1,40.1
Lithuania,40.0,39.9,40.0
Luxembourg,40.3,41.1,40.9
Hungary,40.3,40.4,40.3
Malta,42.0,41.2,40.9
Netherlands,40.4,39.4,39.4
Austria,42.1,41.8,41.7
Poland,41.4,41.3,41.3
Portugal,41.2,41.3,41.3
Romania,40.3,40.5,40.5
Slovenia,41.2,41.3,41.1
Slovakia,40.9,40.2,40.2
Finland,39.9,38.9,38.7
Sweden,40.4,41.6,41.6
Iceland,43.4,42.9,42.8
Liechtenstein,:,:,:
Norway,38.7,39.5,39.7
Switzerland,42.7,43.6,43.3
United Kingdom,:,:,:
Bosnia and Herzegovina,:,42.3,42.4
Montenegro,45.0,:,:
North Macedonia,41.6,:,:
Albania,:,:,:
Serbia,44.3,44.2,44.0
Türkiye,48.3,:,:
