country,2020,2021,2022
Belgium,118683,139743,208356
Bulgaria,37364,39461,40619
Czechia,63095,69360,347429
Denmark,57230,63489,121183
Germany,728606,874367,2071690
Estonia,16209,19524,49414
Ireland,74211,80732,157537
Greece,84221,57120,96662
Spain,467918,887960,1258894
France,283237,336398,431017
Croatia,33414,35912,57972
Italy,247526,318366,410985
Cyprus,25861,24001,31052
Latvia,8840,12689,38708
Lithuania,43096,44858,87367
Luxembourg,22490,25335,31433
Hungary,75470,80471,94148
Malta,13885,18148,34964
Netherlands,182244,214105,326798
Austria,103565,118511,201622
Poland,210615,241116,275515
Portugal,67160,50721,117843
Romania,145519,194642,293024
Slovenia,36110,23624,35613
Slovakia,6775,5733,5463
Finland,32898,36364,49998
Sweden,82518,90631,102436
Iceland,8544,8996,14878
Liechtenstein,713,669,770
Norway,36287,53947,90475
Switzerland,138778,144907,167079
United Kingdom,:,:,:
Bosnia and Herzegovina,:,:,:
Montenegro,6008,:,:
Moldova,:,:,:
North Macedonia,2555,1570,:
Albania,:,:,:
Serbia,:,:,:
Türkiye,:,:,:
Belarus,:,:,:
Russia,:,:,:
San Marino,:,:,:

