<<<<<<< HEAD
country,2022,2024
European Union - 27 countries (from 2020),4.0,3.9
Euro area – 20 countries (from 2023),4.4,4.3
Belgium,3.4,3.4
Bulgaria,2.6,2.7
Czechia,1.5,1.7
Denmark,3.2,3.7
Germany,2.2,2.1
Estonia,4.1,4.7
Ireland,3.2,3.1
Greece,7.5,6.7
Spain,8.4,7.9
France,4.6,4.7
Croatia,4.1,3.6
Italy,4.6,4.4
Cyprus,4.8,4.4
Latvia,4.7,4.5
Lithuania,4.2,4.8
Luxembourg,3.1,	3.5
Hungary,2.4,2.8
Malta,2.4,2.2
Netherlands,2.6,2.7
Austria,3.3,3.5
Poland,1.8,1.8
Portugal,4.1,4.4
Romania,3.2,3.2
Slovenia,2.6,2.4
Slovakia,4.1,3.9
Finland,4.6,5.0
Sweden,5.6,5.8
Iceland,3.0,2.8
Liechtenstein,:,:
Norway,2.4,2.6
Switzerland,3.2,3.1
United Kingdom,:,:
Bosnia and Herzegovina,7.9,:
Montenegro,:,:
North Macedonia,:,:
Albania,:,:
Serbia,5.8,5.8
Türkiye,:,:
=======
country,2022,2024
European Union - 27 countries (from 2020),4.0,3.9
Euro area – 20 countries (from 2023),4.4,4.3
Belgium,3.4,3.4
Bulgaria,2.6,2.7
Czechia,1.5,1.7
Denmark,3.2,3.7
Germany,2.2,2.1
Estonia,4.1,4.7
Ireland,3.2,3.1
Greece,7.5,6.7
Spain,8.4,7.9
France,4.6,4.7
Croatia,4.1,3.6
Italy,4.6,4.4
Cyprus,4.8,4.4
Latvia,4.7,4.5
Lithuania,4.2,4.8
Luxembourg,3.1,	3.5
Hungary,2.4,2.8
Malta,2.4,2.2
Netherlands,2.6,2.7
Austria,3.3,3.5
Poland,1.8,1.8
Portugal,4.1,4.4
Romania,3.2,3.2
Slovenia,2.6,2.4
Slovakia,4.1,3.9
Finland,4.6,5.0
Sweden,5.6,5.8
Iceland,3.0,2.8
Liechtenstein,:,:
Norway,2.4,2.6
Switzerland,3.2,3.1
United Kingdom,:,:
Bosnia and Herzegovina,7.9,:
Montenegro,:,:
North Macedonia,:,:
Albania,:,:
Serbia,5.8,5.8
Türkiye,:,:
>>>>>>> upstream/main
